Ticker,Trader Name,Relationship,Transaction Date,Cost,# Shares,Total Value,Shares Held,Filing Date
ORCC,Maged Alexis,Vice President,"Nov 12, 2020",$13.22,"10,000","132,200","10,000","Nov 16, 2020, 04:09 PM"
ORCC,Maged Alexis,Vice President,"Nov 13, 2020",$13.54,"5,000","67,700","15,000","Nov 16, 2020, 04:09 PM"
MCHX,ARENDS MICHAEL A,Co-CEO & CFO,"Nov 12, 2020",$1.79,125,224,"792,504","Nov 16, 2020, 04:09 PM"
MACK,Levy Noah G.,Director,"Nov 12, 2020",$3.65,"56,490","205,912","839,005","Nov 16, 2020, 04:05 PM"
MACK,Andersen Eric,Director,"Nov 12, 2020",$3.65,"56,490","206,189","822,014","Nov 16, 2020, 04:05 PM"
BTN,"Fundamental Global Investors, LLC",Director,"Nov 13, 2020",$1.58,"5,506","8,714","2,128,211","Nov 16, 2020, 04:04 PM"
BTN,"Fundamental Global Investors, LLC",Director,"Nov 12, 2020",$1.59,"2,790","4,437","234,808","Nov 16, 2020, 04:04 PM"
BTN,"Fundamental Global Investors, LLC",Director,"Nov 12, 2020",$1.59,"5,181","8,239","2,122,705","Nov 16, 2020, 04:04 PM"
BTN,"Fundamental Global Investors, LLC",Director,"Nov 13, 2020",$1.58,"2,964","4,691","237,772","Nov 16, 2020, 04:04 PM"
MFNC,ASPATORE WALTER J,Director,"Nov 13, 2020",$12.23,"2,500","30,575","34,120","Nov 16, 2020, 04:28 PM"
CTHR,O'CONNELL DON,President and CEO,"Nov 12, 2020",$1.01,"2,500","2,537","318,053","Nov 16, 2020, 04:26 PM"
CTHR,O'CONNELL DON,President and CEO,"Nov 13, 2020",$1.03,"2,500","2,575","320,553","Nov 16, 2020, 04:26 PM"
CTHR,SYKES OLLIN B,Director,"Nov 12, 2020",$1.02,"86,724","88,146","1,061,894","Nov 16, 2020, 04:24 PM"
MFNC,Tobias Paul Davison,Chief Executive Officer,"Nov 13, 2020",$12.25,"3,539","43,353","99,367","Nov 16, 2020, 04:49 PM"
MFNC,Tobias Paul Davison,Chief Executive Officer,"Nov 12, 2020",$11.95,461,"5,509","95,828","Nov 16, 2020, 04:49 PM"
MS,OLAYAN HUTHAM S,Director,"Nov 12, 2020",$55.40,"25,000","1,385,000","28,129","Nov 16, 2020, 04:44 PM"
GBDC,Golub David,Chief Executive Officer,"Nov 13, 2020",$13.69,"2,000","27,378","1,988,349","Nov 16, 2020, 04:40 PM"
GBDC,Golub David,Chief Executive Officer,"Nov 12, 2020",$13.56,"2,488","33,740","1,986,349","Nov 16, 2020, 04:40 PM"
MFNC,Deering Jesse A,EVP and CFO,"Nov 13, 2020",$12.25,500,"6,125","25,788","Nov 16, 2020, 04:39 PM"
GBDC,Golub Lawrence E,Chairman,"Nov 13, 2020",$13.69,"2,000","27,378","1,988,349","Nov 16, 2020, 04:38 PM"
GBDC,Golub Lawrence E,Chairman,"Nov 12, 2020",$13.56,"2,488","33,740","1,986,349","Nov 16, 2020, 04:38 PM"
CLSD,WHITMORE BRADFORD T,10% Owner,"Nov 16, 2020",$1.69,"62,000","104,929","3,012,000","Nov 16, 2020, 04:36 PM"
MFNC,Paschke Randolph Clare,Director,"Nov 13, 2020",$12.25,500,"6,125","33,817","Nov 16, 2020, 04:58 PM"
MFNC,Paschke Randolph Clare,Director,"Nov 16, 2020",$12.54,"1,500","18,810","35,317","Nov 16, 2020, 04:58 PM"
TISI,WATERS LOUIS A,Director,"Nov 12, 2020",$8.10,"50,000","405,000","232,665","Nov 16, 2020, 05:31 PM"
OFS,RESSLER RICHARD S,10% Owner,"Nov 13, 2020",$5.28,"8,818","46,559","12,073","Nov 16, 2020, 05:27 PM"
OFS,RESSLER RICHARD S,10% Owner,"Nov 12, 2020",$5.07,"3,255","16,503","3,255","Nov 16, 2020, 05:27 PM"
FPAY,Dvorkin Howard,Director,"Nov 13, 2020",$1.64,"16,000","26,240","2,603,095","Nov 16, 2020, 05:26 PM"
FPAY,Dvorkin Howard,Director,"Nov 12, 2020",$1.63,"27,190","44,320","2,587,095","Nov 16, 2020, 05:26 PM"
GSKY,Nagy Angela M,"SVP, Chief Accounting Officer","Nov 12, 2020",$3.45,"7,500","25,875","7,500","Nov 16, 2020, 05:21 PM"
NOAC,patel Paresh Dinesh,President & CEO,"Nov 11, 2020",$10.00,"511,000","5,110,549","511,000","Nov 16, 2020, 05:49 PM"
NOAC,Volpe Marc,CFO and Secretary,"Nov 11, 2020",$10.00,"12,500","125,000","27,500","Nov 16, 2020, 05:47 PM"
EEX,Gendel Mitchell,General Counsel,"Nov 16, 2020",$3.38,"30,000","101,400","108,000","Nov 16, 2020, 06:03 PM"
CAR,"SRS Investment Management, LLC",Director,"Nov 13, 2020",$36.46,"69,889","2,547,824","18,198,424","Nov 16, 2020, 05:57 PM"
CAR,"SRS Investment Management, LLC",Director,"Nov 12, 2020",$35.28,"79,907","2,818,720","18,128,535","Nov 16, 2020, 05:57 PM"
HCFT,HOULIHAN WILLIAM A,Director,"Nov 16, 2020",$2.86,"2,000","5,720","68,793","Nov 16, 2020, 06:16 PM"
VRS,Nebel Randy J.,Interim President & CEO,"Nov 16, 2020",$9.68,"15,000","145,200","24,764","Nov 16, 2020, 06:13 PM"
ADOC,American Physicians LLC,10% Owner,"Nov 12, 2020",$10.00,"414,000","4,140,000","414,000","Nov 16, 2020, 06:12 PM"
KFS,Fitzgerald John Taylor Maloney,President and CEO,"Nov 13, 2020",$3.22,647,"2,080","993,409","Nov 16, 2020, 06:06 PM"
MGEN,Logos Global Master Fund LP,10% Owner,"Nov 13, 2020",$14.84,"126,667","1,879,599","550,000","Nov 16, 2020, 06:23 PM"
MGEN,Logos Global Master Fund LP,10% Owner,"Nov 09, 2020",$1.12,"350,000","390,885","6,350,000","Nov 16, 2020, 06:23 PM"
MPLN,Klein Michael Stuart,Director,"Nov 16, 2020",$7.11,"700,000","4,977,420","29,422,711","Nov 16, 2020, 06:23 PM"
MN,Busheri Ebrahim,Director of Investments,"Nov 12, 2020",$3.85,"16,008","61,631","386,417","Nov 16, 2020, 07:29 PM"
RBNC,Mabry William Lawson,Director,"Nov 13, 2020",$18.05,175,"3,159","31,717","Nov 16, 2020, 07:25 PM"
TESS,Martine-Dolecki Cathy-Ann,Director,"Nov 13, 2020",$6.00,400,"2,400","11,293","Nov 16, 2020, 07:44 PM"
TESS,Martine-Dolecki Cathy-Ann,Director,"Nov 12, 2020",$5.96,"7,893","47,042","10,893","Nov 16, 2020, 07:44 PM"
DXC,FERNANDEZ RAUL J,Director,"Nov 13, 2020",$20.63,"2,415","49,809","15,525","Nov 16, 2020, 08:12 PM"
WHG,FRANK RICHARD M,Director,"Nov 16, 2020",$11.20,"5,584","62,528","42,757","Nov 16, 2020, 08:34 PM"
PTSI,Davis W Scott,Director,"Nov 12, 2020",$44.00,20,880,"8,886","Nov 16, 2020, 08:26 PM"
ESXB,PUTNAM EUGENE S JR,Director,"Nov 12, 2020",$6.00,"2,000","12,000","27,000","Nov 16, 2020, 08:48 PM"
